individuals_store,individuals_merge_store,sifting_store,mutation_overlap_store,frequency_store,nodes,total,o1,o2,o3,dur_individuals,dur_individuals_merge,dur_sifting,dur_mutation_overlap,dur_frequency
beegfs,beegfs,beegfs,beegfs,tmpfs,2,456.6240653540621,0.0,356.47254377297156,100.15152158109053,0.0,356.47254377297156,0.022721782953132354,16.20124041663977,100.15152158109053
beegfs,beegfs,beegfs,tmpfs,tmpfs,2,456.6240653540621,0.0,356.47254377297156,100.15152158109053,0.0,356.47254377297156,0.022721782953132354,3.5441423175582947,100.15152158109053
beegfs,beegfs,beegfs,ssd,tmpfs,2,456.6240653540621,0.0,356.47254377297156,100.15152158109053,0.0,356.47254377297156,0.022721782953132354,26.408481747080746,100.15152158109053
beegfs,beegfs,beegfs,beegfs,ssd,2,491.2462742080461,0.0,356.466665015358,134.77960919268807,0.0,356.466665015358,0.02115105089616711,16.20124041663977,134.77960919268807
beegfs,beegfs,beegfs,ssd,ssd,2,491.2462742080461,0.0,356.466665015358,134.77960919268807,0.0,356.466665015358,0.02115105089616711,26.408481747080746,134.77960919268807
beegfs,beegfs,beegfs,tmpfs,ssd,2,491.25215296565966,0.0,356.47254377297156,134.77960919268807,0.0,356.47254377297156,0.022721782953132354,3.5441423175582947,134.77960919268807
beegfs,beegfs,beegfs,beegfs,beegfs,2,825.5673966823649,0.0,356.38778753077935,469.1796091515855,0.0,356.38778753077935,0.0,16.20124041663977,469.1796091515855
beegfs,beegfs,beegfs,ssd,beegfs,2,825.6462741669435,0.0,356.466665015358,469.1796091515855,0.0,356.466665015358,0.02115105089616711,26.408481747080746,469.1796091515855
beegfs,beegfs,beegfs,tmpfs,beegfs,2,825.6521529245571,0.0,356.47254377297156,469.1796091515855,0.0,356.47254377297156,0.022721782953132354,3.5441423175582947,469.1796091515855
beegfs,beegfs,ssd,beegfs,tmpfs,2,9995.585156117635,0.0,9895.433634536545,100.15152158109053,0.0,356.47254377297156,9895.433634536545,16.20124041663977,100.15152158109053
beegfs,beegfs,ssd,tmpfs,tmpfs,2,9995.585156117635,0.0,9895.433634536545,100.15152158109053,0.0,356.47254377297156,9895.433634536545,3.5441423175582947,100.15152158109053
beegfs,beegfs,ssd,ssd,tmpfs,2,9995.585156117635,0.0,9895.433634536545,100.15152158109053,0.0,356.47254377297156,9895.433634536545,26.408481747080746,100.15152158109053
beegfs,beegfs,beegfs,beegfs,tmpfs,5,260.9381639008014,0.0,165.7495640307514,95.18859987005,0.0,165.7495640307514,0.022721782953132354,13.758377757136259,95.18859987005
beegfs,beegfs,beegfs,tmpfs,tmpfs,5,260.9381639008014,0.0,165.7495640307514,95.18859987005,0.0,165.7495640307514,0.022721782953132354,3.186803047395228,95.18859987005
beegfs,beegfs,beegfs,ssd,tmpfs,5,260.9381639008014,0.0,165.7495640307514,95.18859987005,0.0,165.7495640307514,0.022721782953132354,10.32534579415243,95.18859987005
beegfs,beegfs,beegfs,beegfs,ssd,5,267.2293729016355,0.0,165.74368527313783,101.48568762849764,0.0,165.74368527313783,0.02115105089616711,13.758377757136259,101.48568762849764
beegfs,beegfs,beegfs,ssd,ssd,5,267.2293729016355,0.0,165.74368527313783,101.48568762849764,0.0,165.74368527313783,0.02115105089616711,10.32534579415243,101.48568762849764
beegfs,beegfs,beegfs,tmpfs,ssd,5,267.23525165924906,0.0,165.7495640307514,101.48568762849764,0.0,165.7495640307514,0.022721782953132354,3.186803047395228,101.48568762849764
beegfs,beegfs,beegfs,beegfs,beegfs,5,569.9579744705912,0.0,165.6648077885592,404.29316668203205,0.0,165.6648077885592,0.0,13.758377757136259,404.29316668203205
beegfs,beegfs,beegfs,ssd,beegfs,5,570.0368519551698,0.0,165.74368527313783,404.29316668203205,0.0,165.74368527313783,0.02115105089616711,10.32534579415243,404.29316668203205
beegfs,beegfs,beegfs,tmpfs,beegfs,5,570.0427307127834,0.0,165.7495640307514,404.29316668203205,0.0,165.7495640307514,0.022721782953132354,3.186803047395228,404.29316668203205
beegfs,beegfs,ssd,beegfs,tmpfs,5,9990.622234406595,0.0,9895.433634536545,95.18859987005,0.0,165.7495640307514,9895.433634536545,13.758377757136259,95.18859987005
beegfs,beegfs,ssd,tmpfs,tmpfs,5,9990.622234406595,0.0,9895.433634536545,95.18859987005,0.0,165.7495640307514,9895.433634536545,3.186803047395228,95.18859987005
beegfs,beegfs,ssd,ssd,tmpfs,5,9990.622234406595,0.0,9895.433634536545,95.18859987005,0.0,165.7495640307514,9895.433634536545,10.32534579415243,95.18859987005
beegfs,beegfs,ssd,beegfs,ssd,5,9996.919322165042,0.0,9895.433634536545,101.48568762849764,0.0,165.74368527313783,9895.433634536545,13.758377757136259,101.48568762849764
beegfs,beegfs,ssd,tmpfs,ssd,5,9996.919322165042,0.0,9895.433634536545,101.48568762849764,0.0,165.7495640307514,9895.433634536545,3.186803047395228,101.48568762849764
beegfs,beegfs,ssd,ssd,ssd,5,9996.919322165042,0.0,9895.433634536545,101.48568762849764,0.0,165.74368527313783,9895.433634536545,10.32534579415243,101.48568762849764
beegfs,beegfs,beegfs,beegfs,ssd,10,175.61476658479035,0.0,113.50065190212604,62.114114682664294,0.0,113.50065190212604,0.02115105089616711,8.934415860225135,62.114114682664294
beegfs,beegfs,beegfs,ssd,ssd,10,175.61476658479035,0.0,113.50065190212604,62.114114682664294,0.0,113.50065190212604,0.02115105089616711,6.218757105180638,62.114114682664294
beegfs,beegfs,beegfs,tmpfs,ssd,10,175.62064534240392,0.0,113.50653065973961,62.114114682664294,0.0,113.50653065973961,0.022721782953132354,2.945385259460915,62.114114682664294
beegfs,beegfs,beegfs,beegfs,tmpfs,10,203.79889010111475,0.0,113.50653065973961,90.29235944137513,0.0,113.50653065973961,0.022721782953132354,8.934415860225135,90.29235944137513
beegfs,beegfs,beegfs,tmpfs,tmpfs,10,203.79889010111475,0.0,113.50653065973961,90.29235944137513,0.0,113.50653065973961,0.022721782953132354,2.945385259460915,90.29235944137513
beegfs,beegfs,beegfs,ssd,tmpfs,10,203.79889010111475,0.0,113.50653065973961,90.29235944137513,0.0,113.50653065973961,0.022721782953132354,6.218757105180638,90.29235944137513
beegfs,beegfs,beegfs,beegfs,beegfs,10,358.6938969211959,0.0,113.4217744175474,245.27212250364855,0.0,113.4217744175474,0.0,8.934415860225135,245.27212250364855
beegfs,beegfs,beegfs,ssd,beegfs,10,358.7727744057746,0.0,113.50065190212604,245.27212250364855,0.0,113.50065190212604,0.02115105089616711,6.218757105180638,245.27212250364855
beegfs,beegfs,beegfs,tmpfs,beegfs,10,358.7786531633882,0.0,113.50653065973961,245.27212250364855,0.0,113.50653065973961,0.022721782953132354,2.945385259460915,245.27212250364855
beegfs,beegfs,ssd,beegfs,ssd,10,9957.54774921921,0.0,9895.433634536545,62.114114682664294,0.0,113.50065190212604,9895.433634536545,8.934415860225135,62.114114682664294
beegfs,beegfs,ssd,tmpfs,ssd,10,9957.54774921921,0.0,9895.433634536545,62.114114682664294,0.0,113.50653065973961,9895.433634536545,2.945385259460915,62.114114682664294
beegfs,beegfs,ssd,ssd,ssd,10,9957.54774921921,0.0,9895.433634536545,62.114114682664294,0.0,113.50065190212604,9895.433634536545,6.218757105180638,62.114114682664294
beegfs,beegfs,ssd,beegfs,tmpfs,10,9985.72599397792,0.0,9895.433634536545,90.29235944137513,0.0,113.50653065973961,9895.433634536545,8.934415860225135,90.29235944137513
beegfs,beegfs,ssd,tmpfs,tmpfs,10,9985.72599397792,0.0,9895.433634536545,90.29235944137513,0.0,113.50653065973961,9895.433634536545,2.945385259460915,90.29235944137513
beegfs,beegfs,ssd,ssd,tmpfs,10,9985.72599397792,0.0,9895.433634536545,90.29235944137513,0.0,113.50653065973961,9895.433634536545,6.218757105180638,90.29235944137513
